S;I;R;S->I;I->R;I->S;R->S;a;b;c;e;R0
155312;879;3809;452;356;95;395;0.000003;0.405006;0.064305;0.103702;1.128765
155350;880;3770;480;370;85;361;0.000004;0.420455;0.055979;0.095756;1.179139
155316;905;3779;476;333;105;383;0.000003;0.367956;0.073331;0.101350;1.227838
155328;943;3729;487;385;113;399;0.000003;0.408271;0.070907;0.106999;1.110172
155353;932;3715;455;385;117;368;0.000003;0.413090;0.073679;0.099058;1.032935
155383;885;3732;460;342;135;388;0.000003;0.386441;0.093594;0.103966;1.114958
155446;868;3686;458;350;111;356;0.000003;0.403226;0.076316;0.096582;1.132557
155455;865;3680;513;336;99;369;0.000004;0.388439;0.069994;0.100272;1.331499
155410;943;3647;527;397;109;360;0.000004;0.420997;0.066926;0.098711;1.179203
155352;964;3684;522;414;112;403;0.000003;0.429461;0.066287;0.109392;1.124958
155345;960;3695;477;404;86;357;0.000003;0.420833;0.051884;0.096617;1.082602
155311;947;3742;503;364;113;404;0.000003;0.384372;0.073459;0.107964;1.195172
155325;973;3702;475;388;123;361;0.000003;0.398767;0.076004;0.097515;1.059194
155334;937;3729;490;365;126;352;0.000003;0.389541;0.082089;0.094395;1.142110
155322;936;3742;459;395;110;367;0.000003;0.422009;0.067926;0.098076;1.031064
155340;890;3770;469;351;113;379;0.000003;0.394382;0.076893;0.100531;1.151715
155363;895;3742;481;349;106;360;0.000003;0.389944;0.072252;0.096205;1.197479
155348;921;3731;479;368;116;388;0.000003;0.399566;0.075625;0.103994;1.127256
155373;916;3711;456;375;112;391;0.000003;0.409389;0.072214;0.105362;1.064448
155420;885;3695;457;364;105;393;0.000003;0.411299;0.069846;0.106360;1.104866
155461;873;3666;465;341;98;377;0.000003;0.390607;0.068408;0.102837;1.194290
155471;899;3630;452;382;108;327;0.000003;0.424917;0.069087;0.090083;1.047416
155454;861;3685;474;343;110;375;0.000004;0.398374;0.076863;0.101764;1.192294
155465;882;3653;440;334;108;404;0.000003;0.378685;0.076079;0.110594;1.128977
155537;880;3583;466;365;90;346;0.000003;0.414773;0.059853;0.096567;1.147727
155507;891;3602;482;350;107;348;0.000003;0.392817;0.072916;0.096613;1.195093
155480;916;3604;418;368;106;353;0.000003;0.401747;0.069230;0.097947;0.997072
155521;860;3619;409;365;99;372;0.000003;0.424419;0.066259;0.102791;0.997148
155583;805;3612;420;355;98;407;0.000003;0.440994;0.068053;0.112680;1.054032
155668;772;3560;367;291;109;372;0.000003;0.376943;0.087970;0.104494;1.050987
155782;739;3479;360;309;88;364;0.000003;0.418133;0.069289;0.104628;1.026494
155874;702;3424;381;299;76;362;0.000003;0.425926;0.062150;0.105724;1.141422
155931;708;3361;349;294;81;296;0.000003;0.415254;0.066899;0.088069;1.049047
155959;682;3359;342;300;91;339;0.000003;0.439883;0.074737;0.100923;0.999689
156047;633;3320;310;261;79;319;0.000003;0.412322;0.073344;0.096084;1.033915
156135;603;3262;304;238;81;327;0.000003;0.394693;0.081310;0.100245;1.085341
156239;588;3173;319;230;62;339;0.000003;0.391156;0.064198;0.106839;1.220097
156321;615;3064;330;234;71;307;0.000003;0.380488;0.071521;0.100196;1.215051
156369;640;2991;324;255;88;292;0.000003;0.398438;0.082715;0.097626;1.076594
156425;621;2954;330;251;78;305;0.000003;0.404187;0.074836;0.103250;1.134696
156478;622;2900;323;245;68;297;0.000003;0.393891;0.066263;0.102414;1.153921
156520;632;2848;365;239;82;264;0.000004;0.378165;0.080681;0.092697;1.286646
156501;676;2823;383;282;96;291;0.000004;0.417160;0.082770;0.103082;1.158633
156505;681;2814;357;281;78;279;0.000003;0.412629;0.067276;0.099147;1.116755
156505;679;2816;374;283;73;312;0.000004;0.416789;0.062702;0.110795;1.174392
156516;697;2787;382;272;98;283;0.000004;0.390244;0.085733;0.101543;1.177079
156515;709;2776;336;269;72;268;0.000003;0.379408;0.063022;0.096542;1.094997
156519;704;2777;346;292;70;288;0.000003;0.414773;0.058190;0.103709;1.062256
156531;688;2781;397;288;75;252;0.000004;0.418605;0.063379;0.090615;1.223741
156461;722;2817;383;286;83;286;0.000003;0.396122;0.069421;0.101526;1.165241
156447;736;2817;398;287;95;297;0.000003;0.389946;0.078743;0.105431;1.179976
156441;752;2807;384;298;91;314;0.000003;0.396277;0.073057;0.111863;1.112759
156462;747;2791;408;291;90;282;0.000003;0.389558;0.073547;0.101039;1.206065
156426;774;2800;388;298;94;283;0.000003;0.385013;0.074688;0.101071;1.115388
156415;770;2815;393;300;83;255;0.000003;0.389610;0.065795;0.090586;1.146423
156360;780;2860;370;322;82;292;0.000003;0.412821;0.061729;0.102098;1.022869
156364;746;2890;402;313;76;313;0.000003;0.419571;0.059132;0.108305;1.151872
156351;759;2890;397;312;89;276;0.000003;0.411067;0.069058;0.095502;1.114843
156319;755;2926;383;293;95;252;0.000003;0.388079;0.076997;0.086124;1.116442
156283;750;2967;406;307;92;307;0.000003;0.409333;0.072455;0.103472;1.150315
156276;757;2967;371;306;83;274;0.000003;0.404227;0.065323;0.092349;1.068622
156262;739;2999;359;282;99;309;0.000003;0.381597;0.082844;0.103034;1.070992
156311;717;2972;399;284;85;299;0.000004;0.396095;0.071593;0.100606;1.217947
156296;747;2957;420;309;98;269;0.000004;0.413655;0.076923;0.090971;1.173256
156243;760;2997;406;309;90;320;0.000003;0.406579;0.070274;0.106773;1.147223
156247;767;2986;404;299;100;282;0.000003;0.389830;0.079553;0.094441;1.149124
156225;772;3003;391;299;96;305;0.000003;0.387306;0.076190;0.101565;1.119137
156235;768;2997;449;321;86;292;0.000004;0.417969;0.065175;0.097431;1.239225
156164;810;3026;414;310;109;299;0.000003;0.382716;0.083067;0.098810;1.124271
156158;805;3037;449;331;95;292;0.000004;0.411180;0.069488;0.096148;1.188942
156096;828;3076;446;321;106;313;0.000003;0.387681;0.078389;0.101756;1.184627
156069;847;3084;434;319;88;288;0.000003;0.376623;0.064766;0.093385;1.190111
156011;874;3115;439;363;92;309;0.000003;0.415332;0.061544;0.099197;1.080221
155973;858;3169;430;339;115;306;0.000003;0.395105;0.081076;0.096560;1.079643
155964;834;3202;424;349;92;327;0.000003;0.418465;0.064150;0.102124;1.080673
155959;817;3224;465;315;112;324;0.000004;0.385557;0.084232;0.100496;1.242904
155930;855;3215;469;334;110;338;0.000004;0.390643;0.078397;0.105132;1.200016
Medias
156168.61;790.95;3040.45;417.75;315.10;96.60;299.05;0.00;0.40;0.07;0.10;1.15
Pico I;1898
Inst Pico I;31
Temp Acmd;31
